name,player_id,discord_id,ar_basics,ar_pro,at_basics,cmd_basics,parkour,at_pro,recon_basics,sl_basics,tactic_basics,infantry_basics,tank_basics,mg_basics,at_basics
ronnar,76561198098807919,542421205601222681,0,0,0,0,0,0,0,0,0,0,0,0,0
Amumbofis,76561198235261204,973664514543325204,1,0,0,0,0,0,0,1,0,0,0,0,0
OmniisCZ,76561198296439497,687203390014619649,0,0,0,1,0,0,1,0,1,0,1,1,0
Larry,76561198796354461,779725591066050560,0,0,0,0,0,0,0,0,0,0,0,0,0
Majk,76561198015529317,333555625634299905,0,0,0,0,0,0,0,0,0,0,0,0,0
JBMichal,ed343b96b47a340890358a1e8499f254,370107780809621506,1,0,0,0,0,0,0,1,0,0,0,0,0
Harder_CZ,c3d26a094c9242eaac2f175e5b895d98,618503485729800193,0,0,0,0,0,0,0,0,0,0,0,0,0
L4ngy_,76561198133651536,206298547451068416,1,0,0,0,0,0,0,1,0,0,0,0,0
Sandiary,76561198056976245,334608553392340992,0,0,0,0,0,0,0,0,0,0,0,0,0
DarkVendrick,d72534bf0cbd42f594c1fa4bf1ac0fd9,500384598086385694,1,0,0,0,0,0,0,1,0,0,0,1,0
Ka$heK 🏄,76561198199051397,286560250578862080,0,0,0,0,0,0,0,0,0,0,0,0,0
Doomino789,76561198007607221,236537468516564992,0,0,0,0,0,0,0,0,0,0,0,0,0
kolaCZek,76561198145103492,766599892725530634,1,0,0,0,0,0,0,1,0,0,0,0,0
RoboCZ,76561198362359575,397840802027667467,0,0,0,0,0,0,0,0,0,0,0,0,0
